mass_A
t;x;y
2.003035556E1;1.859510885E-1;3.208835539E-1
2.003451111E1;1.827620454E-1;3.208344088E-1
2.003865556E1;1.799147790E-1;3.207806379E-1
2.004282222E1;1.770230257E-1;3.207287672E-1
2.004695556E1;1.740506044E-1;3.206578209E-1
2.005111111E1;1.712993761E-1;3.205622371E-1
2.005528889E1;1.684664321E-1;3.205018350E-1
2.005942222E1;1.654834859E-1;3.204819012E-1
2.006357778E1;1.625975705E-1;3.204548806E-1
2.006771111E1;1.597231357E-1;3.203977578E-1
2.007187778E1;1.569011115E-1;3.203383025E-1
2.007603333E1;1.539399773E-1;3.202143426E-1
2.008020000E1;1.512501299E-1;3.201443151E-1
2.008435556E1;1.481568356E-1;3.200918059E-1
2.008850000E1;1.452904543E-1;3.200193611E-1
2.009264444E1;1.425453640E-1;3.199508567E-1
2.009680000E1;1.395067657E-1;3.198847605E-1
2.010096667E1;1.366433348E-1;3.197998660E-1
2.010511111E1;1.338132524E-1;3.197382964E-1
2.010925556E1;1.309804910E-1;3.197250583E-1
2.011343333E1;1.279593326E-1;3.196862573E-1
2.011757778E1;1.251202001E-1;3.196286948E-1
2.012172222E1;1.224759859E-1;3.195501972E-1
2.012588889E1;1.194743976E-1;3.194829970E-1
2.013001111E1;1.166851142E-1;3.194063243E-1
2.013418889E1;1.138200577E-1;3.193668342E-1
2.013834444E1;1.107981791E-1;3.193403241E-1
2.014247778E1;1.079381899E-1;3.192150266E-1
2.014663333E1;1.051350470E-1;3.191259277E-1
2.015078889E1;1.021974833E-1;3.190553829E-1
2.015496667E1;9.932082971E-2;3.189930505E-1
2.015910000E1;9.659414829E-2;3.189868026E-1
2.016325556E1;9.365109592E-2;3.189817000E-1
2.016740000E1;9.065612230E-2;3.188928210E-1
2.017155556E1;8.795078180E-2;3.187914962E-1
2.017571111E1;8.494585791E-2;3.187398605E-1
2.017986667E1;8.201738973E-2;3.186499271E-1
2.018402222E1;7.918628154E-2;3.185999943E-1
2.018815556E1;7.626205109E-2;3.185786493E-1
2.019232222E1;7.332446414E-2;3.184637762E-1
2.019647778E1;7.060677908E-2;3.183826732E-1
2.020062222E1;6.784446143E-2;3.183156684E-1
2.020478889E1;6.474700736E-2;3.182854935E-1
2.020893333E1;6.200121593E-2;3.183153346E-1
2.021307778E1;5.920980476E-2;3.182803626E-1
2.021724444E1;5.621320688E-2;3.182272193E-1
2.022138889E1;5.335909214E-2;3.180805926E-1
2.022554444E1;5.064378551E-2;3.179873185E-1
2.022967778E1;4.783979897E-2;3.179277848E-1
2.023385556E1;4.483890620E-2;3.179551336E-1
2.023800000E1;4.201958353E-2;3.178532636E-1
2.024216667E1;3.921733193E-2;3.177539744E-1
2.024631111E1;3.615411351E-2;3.176689214E-1
2.025045556E1;3.340487293E-2;3.175757152E-1
2.025461111E1;3.060484665E-2;3.175310670E-1
2.025877778E1;2.756953908E-2;3.175604711E-1
2.026294444E1;2.472674061E-2;3.174904099E-1
2.026712222E1;2.196594968E-2;3.173980337E-1
2.027122222E1;1.905791385E-2;3.173358170E-1
